"GEOID","City","STATE_x","COUNTY_x"
"36047046201","NYC","NY","Kings"
"36047046202","NYC","NY","Kings"
"36047046400","NYC","NY","Kings"
"36047046800","NYC","NY","Kings"
"36047047000","NYC","NY","Kings"
"36047047200","NYC","NY","Kings"
"36047047400","NYC","NY","Kings"
"36047047600","NYC","NY","Kings"
"36047047700","NYC","NY","Kings"
"36047047800","NYC","NY","Kings"
"36047048000","NYC","NY","Kings"
"36047048100","NYC","NY","Kings"
"36047048200","NYC","NY","Kings"
"36047048400","NYC","NY","Kings"
"36047048500","NYC","NY","Kings"
"36047048600","NYC","NY","Kings"
"36047048800","NYC","NY","Kings"
"36047048900","NYC","NY","Kings"
"36047049000","NYC","NY","Kings"
"36047049100","NYC","NY","Kings"
"36047049200","NYC","NY","Kings"
"36047049300","NYC","NY","Kings"
"36047049400","NYC","NY","Kings"
"36047049500","NYC","NY","Kings"
"36047049600","NYC","NY","Kings"
"36047049700","NYC","NY","Kings"
"36047049800","NYC","NY","Kings"
"36047049900","NYC","NY","Kings"
"36047050000","NYC","NY","Kings"
"36047050100","NYC","NY","Kings"
"36047050202","NYC","NY","Kings"
"36047050300","NYC","NY","Kings"
"36047050400","NYC","NY","Kings"
"36047050500","NYC","NY","Kings"
"36047050600","NYC","NY","Kings"
"36047050700","NYC","NY","Kings"
"36047050801","NYC","NY","Kings"
"36047050803","NYC","NY","Kings"
"36047050804","NYC","NY","Kings"
"36047050900","NYC","NY","Kings"
"36047051001","NYC","NY","Kings"
"36047051002","NYC","NY","Kings"
"36047051100","NYC","NY","Kings"
"36047051200","NYC","NY","Kings"
"36047051300","NYC","NY","Kings"
"36047051400","NYC","NY","Kings"
"36047051500","NYC","NY","Kings"
"36047051601","NYC","NY","Kings"
