"City","GEOID","Collisions","CasualtiesCount","TotalInjuries","TotalDeaths","PedeCasualtiesCount","PedeInjuries","PedeDeaths","CyclCasualtiesCount","CyclInjuries","CyclDeaths","MotrCasualtiesCount","MotrInjuries","MotrDeaths"
"LA","6037701801",25,8,8,0,1,1,0,2,2,0,5,5,0
"LA","6037702102",2,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037702300",38,8,8,0,2,2,0,4,4,0,2,2,0
"LA","6037702400",47,5,5,0,2,2,0,1,1,0,2,2,0
"LA","6037702502",22,4,4,0,1,1,0,2,2,0,1,1,0
"LA","6037702600",11,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037702700",1,1,1,0,0,0,0,1,1,0,0,0,0
"LA","6037702801",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037702802",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037702803",6,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037702901",68,16,15,1,6,6,0,4,4,0,6,5,1
"LA","6037703001",13,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037703002",11,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037703100",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037703200",10,2,2,0,0,0,0,0,0,0,2,2,0
"LA","6037800101",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037800102",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037800204",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037800506",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037920303",4,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037920331",1,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037930200",3,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037980001",9,1,1,0,1,1,0,0,0,0,0,0,0
"LA","6037980002",8,1,1,0,0,0,0,0,0,0,1,1,0
"LA","6037980005",12,3,3,0,0,0,0,0,0,0,3,3,0
"LA","6037980008",237,20,20,0,4,4,0,12,12,0,4,4,0
"LA","6037980009",339,76,75,1,13,13,0,41,41,0,22,21,1
"LA","6037980010",141,15,14,1,7,7,0,4,4,0,4,3,1
"LA","6037980013",12,0,0,0,0,0,0,0,0,0,0,0,0
"LA","6037980014",114,10,10,0,1,1,0,6,6,0,3,3,0
