"GEOID","pop_dens","race_white","race_minority","female","age_genz","age_millenial","age_genx","age_boomer","age_retiree","divsep","widowed","median_age","not_us_citizen","median_earnings","trav_cars","trav_trans","trav_motorcycle","trav_bike","trav_walk","trav_home","edu_lowedu","edu_hsged","edu_bs","edu_grad","unemp","below_pov","City","Collisions","Casualties","PedeInjuries","PedeDeaths","TotalInjuries","TotalDeaths"
"36061023400",137000,451,5029,2712,1141,2027,1523,708,81,476,82,32.8,851,27440,278,1970,0,11,161,142,237,1231,986,315,612,1519,"NYC",248,58,22,0,58,0
"36047044200",43357.1428571429,2696,339,1580,1074,729,480,617,135,154,100,30,235,42357,467,395,0,0,215,34,74,574,431,297,67,305,"NYC",162,50,18,1,49,1
"36061019701",8322.22222222222,307,442,396,129,226,225,138,31,81,34,35.8,206,60820,26,234,0,0,27,31,0,82,173,193,38,287,"NYC",261,67,11,1,66,1
"36047033900",68400,872,3916,2438,991,1421,1135,860,381,589,229,34.8,921,31875,372,1396,0,20,195,79,156,1656,468,350,199,1406,"NYC",370,160,35,0,160,0
"36061006400",113271.428571429,5564,2365,4499,473,3450,2331,1261,414,689,181,35.2,430,67483,254,3521,28,153,1474,333,59,573,3060,1717,149,544,"NYC",1032,204,59,0,204,0
"36061000700",90080,6091,2917,4773,911,5165,2431,455,46,390,130,29.2,1582,75078,76,4174,0,0,2006,353,178,423,3258,1911,312,1076,"NYC",740,106,45,0,106,0
"36047038900",51050,601,2462,1522,564,1142,853,439,65,234,91,32.1,562,29533,211,1155,12,100,85,99,134,773,540,100,102,831,"NYC",559,173,40,0,173,0
"36081003800",36000,361,2159,1418,645,647,707,416,105,316,109,32.7,421,25051,375,446,0,0,142,62,145,589,269,46,114,430,"NYC",314,109,26,0,109,0
"36081137700",22013.7931034483,1845,4539,3360,1257,1398,2036,1316,377,719,301,40.6,1174,45280,1945,824,0,0,51,165,239,1713,1114,585,128,826,"NYC",586,111,9,0,110,1
"36061018700",100575,5978,2068,4278,1185,1853,2413,2269,326,774,89,43.6,760,70582,514,3252,0,180,311,637,64,646,1863,2671,299,869,"NYC",560,117,22,0,117,0
"36081093900",19652,1463,3450,2679,1099,1072,1212,1237,293,388,316,40.9,813,40190,1351,679,0,0,66,119,365,1359,718,233,112,532,"NYC",198,43,9,0,43,0
"36047022000",56725,3867,671,2139,1856,1050,624,692,316,192,132,24.4,252,19726,237,621,0,8,524,58,256,1260,205,160,108,1988,"NYC",358,103,44,1,102,1
"36081056400",20457.1428571429,228,1204,680,390,259,457,272,54,134,52,36.9,186,32096,387,143,0,0,33,0,59,455,174,54,50,128,"NYC",154,43,7,0,43,0
"36085015602",10064.7058823529,3194,228,1802,719,620,987,734,362,111,238,43.5,33,50581,1115,283,0,0,29,35,37,1171,510,133,93,88,"NYC",228,72,3,0,72,0
"36047013600",49325,2768,1178,2077,851,1064,1198,678,155,336,104,36,529,46250,546,1234,0,18,188,82,118,655,844,533,137,586,"NYC",300,63,14,0,62,1
"36047078400",44350,98,2563,1454,499,593,763,633,173,247,106,41.4,411,38438,369,822,0,0,49,43,109,831,365,232,62,245,"NYC",267,126,13,1,125,1
"36005039600",50055.5555555556,40,4465,2540,1284,1177,1169,550,325,539,170,30.5,785,30439,534,994,0,0,47,56,175,1272,232,53,349,1220,"NYC",351,141,26,0,140,1
"36061020300",46257.1428571429,1734,1504,1808,115,2815,176,116,16,79,36,20.6,676,10189,21,257,0,0,340,74,54,84,295,340,49,251,"NYC",227,45,7,0,45,0
"36081035700",17363.6363636364,665,3155,1823,517,875,974,950,504,453,301,45.3,743,25932,572,783,0,73,71,8,210,1437,488,141,149,651,"NYC",661,162,15,0,161,1
"36081119100",41662.5,209,3124,1666,619,1159,955,540,60,173,133,32.6,1390,31805,736,791,0,0,234,32,142,1027,397,68,63,512,"NYC",251,65,14,0,65,0
"36047112400",45142.8571428571,4,3156,1720,750,942,814,549,105,299,154,32.7,342,35503,334,734,0,0,77,131,60,1034,333,110,128,1000,"NYC",347,115,27,0,115,0
"36047048400",76825,4578,1568,3157,2520,1579,1186,628,233,220,206,24.6,832,24486,710,1068,0,36,324,29,271,1254,680,302,105,2374,"NYC",317,104,28,0,103,1
